resident_length, resident_size, optimal_replacement, least_recently_used_replacement 
5000, 1, 4589, 4589
5000, 2, 3415, 4185
5000, 3, 2692, 3757
5000, 4, 2181, 3373
5000, 5, 1783, 2974
5000, 6, 1453, 2603
5000, 7, 1177, 2232
5000, 8, 949, 1888
5000, 9, 760, 1552
5000, 10, 602, 1271
5000, 11, 482, 1022
5000, 12, 442, 805
5000, 13, 416, 658
5000, 14, 395, 561
5000, 15, 376, 501
5000, 16, 363, 473
5000, 17, 350, 463
5000, 18, 338, 455
5000, 19, 326, 446
5000, 20, 315, 440
5000, 21, 306, 435
5000, 22, 297, 426
5000, 23, 288, 420
5000, 24, 279, 413
5000, 25, 270, 408
5000, 26, 263, 400
5000, 27, 257, 393
5000, 28, 251, 392
5000, 29, 245, 382
5000, 30, 239, 373
5000, 31, 233, 372
5000, 32, 227, 365
5000, 33, 221, 360
5000, 34, 215, 355
5000, 35, 210, 350
5000, 36, 205, 349
5000, 37, 200, 340
5000, 38, 196, 337
5000, 39, 192, 333
5000, 40, 188, 325
5000, 41, 184, 320
5000, 42, 180, 317
5000, 43, 176, 313
5000, 44, 172, 309
5000, 45, 169, 304
5000, 46, 166, 295
5000, 47, 163, 290
5000, 48, 160, 287
5000, 49, 157, 280
5000, 50, 155, 269
5000, 51, 153, 266
5000, 52, 151, 266
5000, 53, 149, 261
5000, 54, 147, 256
5000, 55, 145, 254
5000, 56, 143, 248
5000, 57, 141, 241
5000, 58, 139, 237
5000, 59, 137, 233
5000, 60, 135, 230
5000, 61, 133, 227
5000, 62, 131, 220
5000, 63, 129, 215
5000, 64, 127, 207
5000, 65, 125, 203
5000, 66, 123, 198
5000, 67, 121, 194
5000, 68, 119, 191
5000, 69, 117, 191
5000, 70, 115, 186
5000, 71, 114, 184
5000, 72, 113, 180
5000, 73, 112, 173
5000, 74, 111, 170
5000, 75, 110, 166
5000, 76, 109, 166
5000, 77, 108, 164
5000, 78, 107, 158
5000, 79, 106, 155
5000, 80, 105, 149
5000, 81, 104, 146
5000, 82, 103, 143
5000, 83, 102, 141
5000, 84, 101, 137
5000, 85, 100, 134
5000, 86, 100, 132
5000, 87, 100, 131
5000, 88, 100, 129
5000, 89, 100, 122
5000, 90, 100, 121
5000, 91, 100, 116
5000, 92, 100, 116
5000, 93, 100, 115
5000, 94, 100, 111
5000, 95, 100, 111
5000, 96, 100, 107
5000, 97, 100, 103
5000, 98, 100, 103
5000, 99, 100, 101
